angle,layer1,layer2,layer3,layer4
30.5,88.7477,84.6315,83.3226,83.489
31.0,88.7167,84.5984,83.2343,83.4883
31.5,88.799,84.5836,83.2195,83.4685
32.0,88.7894,84.5386,83.3053,83.4426
32.5,88.8357,84.5316,82.8942,83.4982
33.0,88.792,84.5552,83.0796,83.4345
33.5,88.8273,84.5326,83.0613,83.4368
34.0,88.8085,84.5448,83.1587,83.4351
34.5,88.8466,84.6021,83.4005,83.3393
35.0,88.8187,84.5986,83.3252,83.321
35.5,88.8237,84.6787,83.3245,83.2106
36.0,88.8559,84.7441,83.4102,83.0764
36.5,88.8147,85.0233,83.4677,83.1342
37.0,88.8688,85.2458,83.5013,82.9558
37.5,88.8338,85.5911,83.6436,82.7051
38.0,88.8614,89.2018,83.7511,82.6635
38.5,88.8646,88.9722,83.9238,82.832
39.0,88.8642,88.9695,84.2073,83.0865
39.5,89.0642,88.9649,84.6692,83.299
40.0,89.1621,88.9423,86.3788,83.6025
40.5,89.0568,88.9631,88.9192,84.0163
41.0,88.9939,88.9393,88.9051,87.7222
41.5,88.8398,89.3754,88.9998,88.3225
42.0,88.8414,88.9994,89.0351,88.6417
42.5,89.0195,89.0138,89.0799,88.5273
43.0,88.9356,89.0286,89.0435,88.4495
43.5,89.1451,89.1385,0.0,0.0
44.0,89.1693,89.0101,0.0,84.187
44.5,88.9387,84.3426,83.1161,83.3592
45.0,88.8569,83.0523,83.2714,82.9654
45.5,88.8962,83.4708,82.7561,82.9832
46.0,88.8698,83.7956,83.0486,83.0032
46.5,0.0,0.0,83.216,82.9111
47.0,88.8531,0.0,83.6775,82.7446
47.5,88.9234,89.073,83.934,82.6491
48.0,88.9037,89.0439,84.2054,83.0437
48.5,88.9381,89.0463,84.4739,83.143
49.0,88.925,89.0796,84.9183,83.2917
49.5,88.9874,89.1284,85.1286,83.2934
50.0,88.9747,89.1334,85.319,83.4019
50.5,89.0335,89.2191,86.3681,83.5386
51.0,89.0178,89.203,89.8,83.5929
51.5,89.0502,89.2101,89.5646,83.5682
52.0,89.1019,89.1942,89.2731,83.5751
52.5,89.1461,89.2627,89.1872,83.6616
53.0,89.1739,89.2353,89.203,83.6592
53.5,89.1782,89.3076,89.1804,83.7364
54.0,89.3336,89.2593,89.1711,83.751
54.5,89.318,89.3329,89.3264,83.8216
55.0,89.3628,89.2839,89.3115,83.8541
55.5,89.5186,89.6921,89.3024,83.943
56.0,89.3219,89.4567,89.3135,83.9893
56.5,89.2723,89.3934,89.3115,84.0842
57.0,89.3837,89.374,89.2292,84.1831
57.5,89.2447,89.6725,89.3345,84.3113
58.0,89.4236,89.2641,89.3237,84.4063
58.5,89.468,89.337,89.2918,84.501
59.0,89.3696,89.2716,89.2876,84.6547
59.5,89.1909,89.3256,89.2712,84.7398
60.0,89.1786,89.3148,89.2238,84.902
60.5,89.1942,89.2541,89.2246,88.4722
61.0,89.1613,89.2789,89.3855,85.3012
61.5,89.1598,89.2688,89.3443,85.4905
62.0,89.1685,89.261,89.321,85.7566
62.5,89.1917,89.2631,89.304,89.3671
63.0,89.1475,89.2696,89.3308,89.2654
63.5,89.1678,89.3136,89.2626,89.3125
64.0,89.1452,89.3335,89.3824,89.4971
64.5,89.2027,89.3156,89.6966,89.339
65.0,89.2131,89.2933,89.4009,89.0206
65.5,89.2612,89.3344,89.2144,88.4719
66.0,89.2627,89.3074,89.4954,88.3568
66.5,89.2611,89.3493,89.4931,88.6575
67.0,89.3176,89.3748,89.4479,88.4827
67.5,89.2957,89.333,89.4595,88.8438
68.0,89.317,89.3673,89.4119,88.7355
68.5,89.6031,89.4147,89.3544,88.891
69.0,89.3926,89.4661,89.2303,89.0147
69.5,89.4513,89.4635,89.0343,88.9369
70.0,89.6024,89.5249,89.279,88.6485
70.5,89.5302,89.5311,89.342,88.7846
71.0,89.2881,89.5429,89.3755,88.9412
71.5,89.3307,89.9692,89.5003,88.8565
72.0,89.3543,90.0143,89.4681,89.044
72.5,89.5061,89.9659,89.4404,89.0242
73.0,89.6374,89.5092,89.4763,88.8083
73.5,89.4394,89.4414,89.4463,88.929
74.0,89.4623,89.4866,89.3541,89.005
74.5,89.4494,89.4958,89.4171,89.107
75.0,89.4448,89.4884,89.748,89.1213
75.5,89.4184,89.4815,89.8565,88.9838
76.0,89.4261,89.5161,89.5968,89.0352
76.5,89.4076,89.4645,89.6102,89.0109
77.0,89.4118,89.4944,89.4839,89.0293
77.5,89.441,89.4041,89.3446,88.8827
78.0,89.3735,89.4194,89.2741,88.8495
78.5,89.3488,89.4557,88.9728,88.8705
79.0,89.3177,89.3874,89.1392,88.6903
79.5,89.3378,89.4048,89.3662,88.9124
80.0,89.2558,89.3729,89.4873,88.9045
80.5,89.2553,89.3705,89.8685,88.9881
81.0,89.235,89.3398,89.6146,88.9367
81.5,89.2495,89.3126,89.2683,88.7845
82.0,89.3109,89.2209,89.3186,88.6989
82.5,89.3214,89.2344,89.2551,88.7481
83.0,89.325,89.2399,89.3325,88.7977
83.5,89.616,89.328,89.3299,88.7307
84.0,89.4143,89.4034,89.0817,88.6687
84.5,89.3804,89.5181,88.615,88.6033
85.0,89.5032,89.3883,89.2141,88.7358
85.5,89.3485,89.3743,89.4127,88.6805
86.0,89.232,89.3667,89.1822,89.0853
86.5,89.3237,89.4504,89.4127,89.4339
87.0,89.3941,89.3724,89.2952,89.6095
87.5,89.261,89.2393,89.1446,88.8817
88.0,89.1243,89.1977,88.8338,88.5701
88.5,89.0693,89.1821,88.8088,88.4426
89.0,89.072,89.2111,88.702,88.513
89.5,89.0861,89.2081,88.236,88.3739
90.0,89.0778,89.341,88.6429,88.3831
90.5,89.1046,89.3425,89.0308,88.3842
91.0,89.0758,89.3142,89.0818,88.4558
91.5,89.0754,89.3471,89.132,88.2996
92.0,89.1061,89.3597,89.1714,88.335
92.5,89.1072,89.3977,89.1727,88.5366
93.0,89.0637,89.2694,89.1399,88.4194
93.5,89.1147,89.2959,89.1007,88.4189
94.0,89.0945,89.2967,89.0508,88.2982
94.5,89.053,89.3772,89.0076,88.3763
95.0,89.0485,89.3079,89.0795,88.3546
95.5,89.0427,89.3021,89.2318,88.6033
96.0,89.0135,89.367,89.1901,88.7188
96.5,89.0617,89.07,89.2834,88.9176
97.0,89.2057,89.2002,89.164,88.2711
97.5,89.24,89.2702,89.064,88.1791
98.0,89.476,89.3698,88.9873,88.2936
98.5,89.5136,89.435,88.8825,88.2693
99.0,89.399,89.3409,88.9075,88.0743
99.5,89.282,89.2844,88.9168,88.1316
100.0,89.2259,89.0757,88.907,88.2726
100.5,88.7783,89.0462,88.9245,88.4363
101.0,88.8082,88.9755,88.9238,88.4702
101.5,88.7713,88.9412,89.0451,88.2356
102.0,88.6784,88.9165,89.036,88.1519
102.5,88.7051,88.8158,89.0367,88.3192
103.0,88.5542,88.8287,89.008,88.3657
103.5,88.6032,88.866,88.8025,88.2165
104.0,88.558,88.8629,88.7686,88.3279
104.5,88.5995,88.843,88.7808,88.2971
105.0,88.4936,88.9625,88.7624,88.0973
105.5,88.5441,88.8807,88.7235,88.0727
106.0,88.537,88.8262,88.3975,88.1404
106.5,88.5388,88.7203,88.5069,88.15
107.0,88.406,88.7869,88.3395,88.0034
107.5,88.4156,88.749,88.7651,88.1589
108.0,88.4222,88.6697,88.8409,88.2912
108.5,88.44,88.6132,88.8922,88.3117
109.0,88.4516,88.6227,88.8394,88.4287
109.5,88.4064,88.6189,88.9265,88.6196
110.0,88.4623,88.6292,88.9434,88.7174
110.5,88.5469,88.6095,88.7795,88.7335
111.0,88.6196,88.5808,88.7943,88.9964
111.5,88.5955,88.6085,88.7754,89.2433
112.0,88.6542,88.7035,88.806,89.2938
112.5,88.6853,88.5203,88.7705,88.8736
113.0,88.5859,88.644,88.7052,88.5997
113.5,88.5885,88.62,88.5828,88.3824
114.0,88.5267,88.5638,88.7211,88.2648
114.5,88.5912,88.6043,88.9136,88.2091
115.0,88.2313,88.5115,88.7769,88.2153
115.5,88.1874,88.4445,88.6069,88.2791
116.0,88.2491,88.5057,88.7018,88.513
116.5,88.2026,88.4411,88.6567,89.4583
117.0,88.1905,88.4466,88.7703,0.0
117.5,88.2443,88.5248,88.6737,0.0
118.0,88.236,88.4079,88.5631,84.4512
118.5,88.1524,88.4015,88.5737,84.1514
119.0,88.179,88.3283,88.5788,84.0706
119.5,88.1818,88.3244,88.5533,83.8712
120.0,88.1675,88.451,88.509,83.7687
120.5,88.1359,88.4724,88.5741,83.5794
121.0,88.251,88.4165,88.6439,83.5692
121.5,88.1448,88.2914,0.0,83.4937
122.0,88.1449,88.2845,0.0,83.4743
122.5,88.1249,88.2902,84.7845,83.267
123.0,88.1088,88.2673,84.5142,83.1086
123.5,88.1582,88.3253,84.2801,83.1518
124.0,88.1458,88.37,84.1607,82.9373
124.5,88.1571,88.2321,84.0818,83.0233
125.0,88.2509,88.2103,83.8714,83.0208
125.5,88.1673,88.2203,83.8404,83.4357
126.0,88.1833,88.3347,83.7379,83.4643
126.5,88.1515,0.0,83.575,83.224
127.0,88.2798,0.0,83.529,83.2712
127.5,88.2354,0.0,83.3759,83.2658
128.0,88.108,84.5365,83.1015,83.1982
128.5,88.2821,84.3729,83.223,83.1957
129.0,88.3138,84.1816,83.1846,83.2532
129.5,88.5872,83.8438,82.9163,83.2293
130.0,88.8009,83.7833,82.8458,83.2485
130.5,0.0,83.6518,82.9385,83.3094
131.0,0.0,83.3848,83.1065,83.3558
131.5,84.5348,83.3897,83.0581,83.4153
132.0,84.153,83.2619,83.0939,83.5005
132.5,83.9631,83.0966,82.9903,83.5964
133.0,83.8636,83.0936,82.9424,83.6623
133.5,83.6701,83.0012,82.875,83.7127
134.0,83.6356,82.8036,82.9378,83.8273
134.5,83.538,82.6481,82.9564,83.948
135.0,83.3754,82.7184,82.9988,84.0604
135.5,83.348,82.7626,83.0331,84.1701
136.0,83.2378,82.9964,83.0314,84.384
136.5,83.0258,82.9823,83.1413,84.4954
137.0,83.1071,83.1452,83.2125,84.794
137.5,83.0677,83.1025,83.2856,83.7179
138.0,82.9827,83.2897,83.3842,84.7057
138.5,82.933,82.9104,83.3876,86.0196
139.0,82.8841,82.9449,83.4912,86.6213
139.5,82.7293,82.9747,83.6273,87.2307
140.0,82.6908,82.9755,83.7092,87.6359
140.5,82.6315,83.03,83.7965,87.8338
141.0,82.8713,82.9926,83.915,87.9216
141.5,82.9308,83.0421,84.0824,87.5836
142.0,83.1993,83.0531,84.16,87.8955
142.5,82.8653,83.0299,84.3213,87.5757
143.0,82.9669,83.1138,84.4418,87.5769
143.5,82.9484,83.1363,84.4987,87.6493
144.0,82.8361,83.1212,84.65,87.5987
144.5,0.0,83.1603,84.87,87.638
145.0,82.7602,83.1404,84.1306,87.5804
145.5,82.8039,83.2437,82.5652,87.5594
146.0,82.8275,83.2929,0.0,87.7641
146.5,82.8138,83.344,0.0,87.6669
147.0,82.9206,83.4268,0.0,87.5902
147.5,82.8756,83.5186,88.3683,88.0113
148.0,82.8769,83.5851,88.4423,88.2052
148.5,82.889,83.6455,88.3994,88.2074
149.0,82.9739,83.8586,88.3991,88.1775
149.5,82.9763,83.8804,88.4325,88.1159
150.0,83.0454,84.0057,88.3896,88.1046
150.5,83.1109,84.2628,88.338,88.0631
151.0,83.1771,84.3814,88.3442,88.1036
151.5,83.2401,84.6112,88.3405,88.0524
152.0,83.2671,84.8308,88.4073,88.2693
152.5,83.2966,85.0452,88.3765,88.3513
153.0,83.4495,85.2776,88.2983,88.3179
153.5,83.4509,85.269,88.2698,88.2978
154.0,83.5496,0.0,88.2538,88.211
154.5,83.6538,0.0,88.242,88.1379
155.0,83.7437,0.0,88.2238,88.0652
155.5,83.8338,87.6544,88.2831,88.1183
156.0,83.9287,88.1358,88.3595,88.1513
156.5,84.0594,88.0238,88.4314,88.1127
157.0,84.1285,88.0946,88.3504,87.6034
157.5,84.2388,88.1317,88.3502,87.7262
158.0,84.4886,88.0758,88.3122,88.0019
158.5,84.5745,88.1037,88.3093,87.8433
159.0,84.7876,88.1017,88.2519,88.033
159.5,83.6761,88.2168,88.2527,87.9276
160.0,83.0802,88.216,88.2433,88.0981
160.5,0.0,88.1918,88.2786,87.969
161.0,0.0,88.1185,88.3122,88.0653
161.5,0.0,88.1257,88.2471,87.9562
162.0,84.3052,87.9353,88.2987,87.9507
162.5,84.5941,88.107,88.3374,87.9133
163.0,0.0,88.1507,88.2985,87.8798
163.5,0.0,88.0721,88.2972,87.8619
164.0,83.8117,88.1499,88.3405,87.8835
164.5,83.7251,88.244,88.3107,88.1013
165.0,0.0,88.2689,88.2963,87.9957
165.5,0.0,88.1114,88.3205,87.8164
166.0,84.3145,88.1117,88.2551,87.7939
166.5,84.15,88.2212,88.2476,87.7463
167.0,0.0,88.1509,88.265,87.7049
167.5,0.0,88.1372,88.0544,87.7248
168.0,85.448,88.0715,88.0269,87.7482
168.5,0.0,88.2055,87.8926,87.6438
169.0,87.1326,88.1677,87.791,87.5782
169.5,88.1373,88.1768,87.9406,87.607
170.0,88.1088,88.1378,88.2313,87.6974
170.5,88.1586,88.1585,88.2435,87.5702
171.0,88.0522,88.2102,88.2542,87.6594
171.5,87.8629,88.2884,87.9546,87.7981
172.0,88.0833,88.2473,88.0639,87.7383
172.5,87.9228,88.2112,87.8017,87.7731
173.0,87.9102,88.2453,88.0056,87.6552
173.5,87.9281,88.1131,87.871,87.545
174.0,87.9396,88.1257,87.2939,87.7683
174.5,87.8856,88.2666,87.841,87.5694
175.0,87.8284,88.0867,87.9321,87.4905
175.5,87.8256,88.0841,87.9206,87.5295
176.0,87.9142,88.0985,87.999,87.8602
176.5,87.7689,87.8323,87.8981,87.4361
177.0,87.704,87.9445,87.8691,87.3489
177.5,87.8346,88.0998,87.8812,87.3287
178.0,87.6839,87.8338,87.856,87.2925
178.5,87.6643,87.9954,87.7904,87.3694
179.0,87.7415,87.9523,87.8254,87.4767
179.5,87.7184,87.9144,88.3355,87.662
180.0,87.7109,87.8875,88.3528,87.6928
180.5,87.4439,87.8923,88.1331,87.7869
181.0,87.6559,87.9993,87.8743,87.6308
181.5,87.8582,87.739,87.8067,87.5536
182.0,87.593,87.74,87.6812,87.3368
182.5,87.5182,87.7807,87.2812,87.2701
183.0,87.3915,87.8827,87.5526,87.2389
183.5,87.5931,87.8958,87.5206,87.12
184.0,87.501,87.8135,87.9366,87.3475
184.5,87.4136,87.8555,88.0015,87.1712
185.0,87.5961,87.8397,87.9899,87.0292
185.5,87.5428,87.8873,87.9667,87.1951
186.0,87.77,87.8663,87.9313,86.9926
186.5,87.6312,87.7903,87.5702,86.939
187.0,87.6987,87.6863,87.2444,87.0827
187.5,87.6919,87.8103,87.6496,87.0094
188.0,87.7685,87.8675,87.5941,86.9948
188.5,87.5647,87.6827,87.5376,86.9777
189.0,87.7028,87.8489,87.3964,86.9283
189.5,87.6763,87.7196,87.5022,86.7799
190.0,87.5797,87.6142,87.3404,86.8548
190.5,87.6345,87.6744,87.3706,86.8925
191.0,87.6632,87.7712,87.4813,86.8534
191.5,87.7656,87.6072,87.3576,86.8494
192.0,87.7549,87.7151,87.2776,86.7661
192.5,87.6959,87.7357,87.2274,86.4846
193.0,87.6981,87.6767,86.9744,86.6721
193.5,87.6293,87.6232,86.7012,86.6929
194.0,87.7871,87.5975,86.5496,86.5196
194.5,87.7503,87.6133,86.8859,87.0232
195.0,87.8519,87.6648,86.5967,86.8563
195.5,87.8613,87.3968,86.8463,86.5543
196.0,87.8051,87.6186,87.26,86.7316
196.5,87.7847,87.685,87.1843,86.665
197.0,87.8088,87.7684,87.4347,86.7149
197.5,87.87,87.9575,87.6105,86.8618
198.0,87.8567,88.0042,87.7572,87.1407
198.5,87.7963,88.1487,87.8892,87.1604
199.0,87.7274,87.9341,87.6957,87.082
199.5,87.7088,87.8019,87.3819,87.0289
200.0,87.4944,87.6829,87.2609,86.9164
200.5,87.4895,87.6716,87.3371,86.4632
201.0,87.4958,87.5673,87.2458,86.4134
201.5,87.4507,87.4758,86.9976,86.4339
202.0,87.3156,87.4046,87.1078,86.656
202.5,87.1623,87.4313,87.0982,86.5531
203.0,87.307,87.3816,87.1382,86.5574
203.5,87.2102,87.4014,87.1434,86.6055
204.0,87.1331,87.3089,86.9677,86.6139
204.5,87.1414,87.2795,86.883,86.4964
205.0,86.9139,87.2177,86.8143,86.3971
205.5,87.0198,87.0072,86.6347,86.4829
206.0,86.8905,86.9918,86.5769,86.6222
206.5,86.6589,86.8783,86.5327,86.5372
207.0,86.652,86.8694,86.6289,86.3964
207.5,86.6469,86.888,86.5163,86.3162
208.0,86.6538,86.827,86.4812,86.3313
208.5,86.6709,86.8777,86.4428,86.3327
209.0,86.6616,86.9011,86.2808,86.2375
209.5,86.6686,86.9318,86.2708,86.3185
210.0,86.6707,86.9388,86.3249,86.3
210.5,86.6956,86.9529,86.326,86.2576
211.0,86.698,86.9544,86.0166,86.2021
211.5,86.7204,87.008,86.2415,86.2696
212.0,86.7102,86.9887,85.9485,86.1607
212.5,86.7105,86.987,86.8313,86.1007
213.0,86.7168,87.0015,86.1401,85.1332
213.5,86.7061,86.9757,84.3728,84.3088
214.0,86.7488,86.9623,84.1443,84.2622
214.5,86.6929,86.9344,84.1693,84.514
215.0,86.6507,86.9084,84.1594,84.1709
215.5,86.6558,86.8425,83.9538,84.1559
216.0,86.6803,86.8114,83.953,84.0817
216.5,86.6864,86.739,83.907,83.8417
217.0,86.6759,86.6665,86.3055,84.0689
217.5,86.5966,86.6538,86.1097,84.0248
218.0,86.7073,86.5909,86.1314,84.0283
218.5,86.6586,86.5434,86.2587,83.9745
219.0,86.6136,86.7179,85.79,83.9131
219.5,86.6278,86.4875,86.1687,83.8728
220.0,86.5687,86.6384,86.1616,83.8522
220.5,86.4775,86.6039,86.2042,83.79
221.0,86.436,86.4556,86.2114,86.6058
221.5,86.4346,86.426,85.9004,86.3374
222.0,86.4454,86.3764,86.0237,85.9357
222.5,86.4733,86.247,86.0015,85.9916
223.0,86.4454,86.2446,85.9608,85.9793
223.5,86.463,86.2901,86.0736,85.8943
224.0,86.4778,86.1927,86.0467,85.9948
224.5,86.4446,86.1085,86.1369,86.0255
225.0,86.4451,86.2089,86.1735,85.979
225.5,86.4655,86.0355,86.1875,86.0673
226.0,86.4818,86.1133,86.1933,86.1336
226.5,86.4733,86.4202,86.4425,86.4396
227.0,86.4895,86.5975,86.5117,86.6368
227.5,86.4799,86.5721,86.5144,86.7542
228.0,86.4198,86.7047,86.5157,86.6508
228.5,86.4342,86.6458,86.5195,86.4618
229.0,86.5318,86.6763,86.2145,86.3664
229.5,86.5409,86.5952,86.4226,86.2695
230.0,86.5086,86.4998,0.0,86.1353
230.5,86.4551,86.451,86.2249,86.1411
231.0,86.4435,86.4383,86.2352,86.1625
231.5,86.4682,86.2247,86.2695,85.8451
232.0,86.7513,86.1182,86.1917,86.0996
232.5,86.6236,85.6279,86.2721,85.9335
233.0,86.6483,86.2064,86.1963,86.2818
233.5,86.6223,86.2325,86.2336,86.2294
234.0,86.5561,86.502,86.2353,86.2549
234.5,86.6779,86.6532,86.6265,86.6044
235.0,86.8076,86.7784,86.8488,86.4869
235.5,86.6861,86.856,87.1407,86.7603
236.0,86.6818,86.8692,87.025,86.7959
236.5,86.649,86.8288,86.9912,86.7746
237.0,86.6798,86.8082,86.7106,86.4538
237.5,86.6695,86.7715,86.5551,86.3929
238.0,86.6656,86.7484,0.0,86.2647
238.5,86.6791,86.7144,86.4918,86.1766
239.0,86.6656,86.6897,86.1303,86.0839
239.5,86.6241,86.6768,86.3723,86.142
240.0,86.6125,86.6068,86.349,86.1104
240.5,86.6169,86.5369,86.3142,86.2316
241.0,86.6177,86.4586,86.3371,86.1462
241.5,86.5688,86.4898,86.2966,86.2363
242.0,86.588,86.7235,86.4915,86.3173
242.5,86.5906,86.8214,86.7055,86.6532
243.0,86.5957,86.9081,86.6378,86.8439
243.5,86.6021,86.833,86.7839,87.0415
244.0,86.6222,86.8589,86.761,86.9723
244.5,86.6371,86.9065,86.708,86.6227
245.0,86.5717,86.8122,86.4294,86.5577
245.5,86.5567,86.768,86.4337,86.2
246.0,86.5149,86.7439,86.6243,86.2563
246.5,86.4982,86.7357,86.5411,86.1449
247.0,86.6242,86.7024,86.3247,86.166
247.5,86.3785,86.6352,86.3422,86.0951
248.0,86.3659,86.6244,86.3468,86.1279
248.5,86.3762,86.6579,86.2852,86.146
249.0,86.4024,86.7248,86.181,86.0075
249.5,86.3997,86.7142,86.3071,85.9934
250.0,86.4125,86.7668,86.4836,86.109
250.5,86.3072,86.6006,86.2767,86.2926
251.0,86.335,86.5422,86.2564,86.0032
251.5,86.3229,86.7339,86.4561,86.1395
252.0,86.2828,86.6108,86.3193,86.187
252.5,86.3444,86.8226,86.2983,86.0713
253.0,86.2735,86.6217,86.3368,86.1869
253.5,86.3031,86.5916,86.3139,86.1622
254.0,86.2573,86.6015,86.4186,86.1945
254.5,86.3636,86.7286,86.2995,86.0544
255.0,86.3258,86.6591,86.474,86.2092
255.5,86.3794,86.618,86.4916,85.9563
256.0,86.3942,86.666,86.4695,86.1079
256.5,86.4487,86.6678,86.3057,86.1538
257.0,86.4783,86.6584,86.3566,86.0332
257.5,86.4533,86.6298,86.4185,86.1083
258.0,86.5,86.6316,86.4341,86.1666
258.5,86.5131,86.6366,86.6322,86.0869
259.0,86.5139,86.6544,86.4757,85.983
259.5,86.5025,86.7341,86.5081,86.2515
260.0,86.6018,86.8165,86.3188,86.3636
260.5,86.7468,86.7902,86.5236,86.1702
261.0,86.6721,86.8849,86.1056,86.0819
261.5,86.8007,86.8698,86.4826,86.0096
262.0,86.6389,86.8615,86.4191,86.3018
262.5,86.8109,86.8814,86.6207,86.2431
263.0,86.712,86.8949,86.7103,86.0935
263.5,86.7293,86.8301,86.5077,86.1205
264.0,86.7854,86.8503,86.6342,86.2781
264.5,86.8097,86.4986,86.8711,86.263
265.0,86.8804,86.604,87.218,86.325
265.5,86.6786,86.4115,87.3146,86.3936
266.0,86.7296,86.9565,86.9496,86.1371
266.5,86.7511,86.8417,86.8614,86.1086
267.0,86.7642,86.941,86.8196,86.0561
267.5,86.7746,86.9252,86.7282,86.3247
268.0,86.8483,86.9152,86.7445,86.0469
268.5,86.8162,86.9629,86.5248,86.0979
269.0,86.775,86.9094,86.422,86.1963
269.5,86.7495,86.9293,86.6063,86.0714
270.0,86.7901,86.9411,86.6273,86.2736
270.5,86.8352,86.9905,86.834,86.2757
271.0,86.8147,86.9438,86.6383,86.4201
271.5,86.8366,86.9499,87.2044,86.7629
272.0,86.7585,86.8511,87.4412,86.5557
272.5,86.7438,86.7129,87.4657,86.4881
273.0,86.7649,86.9522,87.1517,86.4539
273.5,86.6881,86.961,86.955,86.3171
274.0,86.6433,86.9258,86.8771,86.2936
274.5,86.6869,86.9995,86.801,86.2635
275.0,86.7607,86.9682,86.3151,86.2577
275.5,86.7977,86.7714,86.6526,86.2705
276.0,86.769,86.6055,86.5203,86.2769
276.5,86.7412,86.5995,86.7807,86.2176
277.0,86.851,86.7177,86.4645,86.1386
277.5,86.7196,86.5295,86.5125,86.3042
278.0,86.826,86.5837,86.5546,86.3548
278.5,86.8239,86.7601,86.5837,86.3627
279.0,86.8449,86.7525,86.666,86.3581
279.5,86.7431,86.6186,86.517,86.3884
280.0,86.5969,86.5807,86.883,86.5034
280.5,86.5225,86.547,86.9669,86.4868
281.0,86.6113,86.6602,86.2057,86.5812
281.5,86.699,86.9199,85.9367,86.773
282.0,86.6914,86.7084,86.2425,86.572
282.5,86.81,86.6989,86.7354,86.6606
283.0,86.8136,86.8982,86.8202,86.7617
283.5,86.7754,86.8463,86.9523,86.7681
284.0,86.9226,86.9252,87.129,86.8019
284.5,86.9135,86.971,87.55,86.8076
285.0,86.8878,87.0969,87.7841,86.7574
285.5,86.949,87.0947,87.7106,86.69
286.0,86.9983,87.1504,87.3956,86.6012
286.5,86.9797,87.2236,87.3237,86.6976
287.0,87.089,87.2286,86.4941,86.6059
287.5,87.1226,87.1129,86.1986,86.6814
288.0,86.5598,87.0251,86.2563,86.8343
288.5,87.1069,87.2254,86.5335,86.6523
289.0,0.0,86.7956,86.8067,86.8556
289.5,82.413,87.1291,87.0474,86.5252
290.0,82.4587,0.0,0.0,87.3216
290.5,82.2792,82.46,83.5335,87.0478
291.0,82.2724,82.4462,0.0,87.1692
291.5,82.1337,82.4588,0.0,86.9127
292.0,82.1376,82.4388,0.0,87.1214
292.5,82.1177,82.4355,0.0,87.2675
293.0,82.0189,82.439,0.0,87.3314
293.5,82.0133,82.4014,83.9816,87.1853
294.0,81.9847,82.4232,83.606,87.229
294.5,81.9145,82.4245,84.1151,87.3175
295.0,81.9486,82.3531,80.455,87.3456
295.5,81.9647,82.4021,0.0,87.3734
296.0,81.9017,82.4244,0.0,87.3845
